Sr No,Service Level,GEO,Rail/Road,Level,Ports,Cut-Offs,Ship Dates,Year Offered,Offered Month,Joined Qtr
1,1,India,Rail,B,9010,Back Dates,04-Jan-23,2023,Jan,Q2
2,1,India,Rail,C,9010,Back Dates,19-Jan-23,2023,Jan,Q2
3,1,India,Rail,A,9010,Back Dates,06-Feb-23,2023,Feb,Q2
4,1,India,Rail,A,9010,Back Dates,01-Feb-23,2023,Feb,Q2
